,matchId,hour,day,month,release,playerPuuid,LastRoundAlive,playerEndingGame,EndGameTime,Ctype1,TierC1,Ctype2,TierC2,Ctype3,TierC3,Ctype4,TierC4,Ctype5,TierC5,Ctype6,TierC6,Ctype7,TierC7,Ctype8,TierC8
0,EUW1_4627054925,20,27,5,10.10,-3to15uUjeOneXycYfZw2aDG4QMWyhMIuJIzIWQpBwLchHjDDpfRGqimxzJMBMlkcvX9M-iAt1FI2Q,30,6,1688.7113037109375,Blaster,2,Chrono,1,Set3_Brawler,2,-,-,-,-,-,-,-,-,-,-
0,EUW1_4627054925,20,27,5,10.10,1FmO7Husl99J9_MrAGQMlkLaFv4c1xCsKU6t6N69RNsFkgZx8XDB9qndVgj1CJ35eUzDSuobYR4LWQ,34,3,1926.799560546875,Chrono,1,Cybernetic,1,ManaReaver,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,-,-,-,-
0,EUW1_4627054925,20,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,35,1,1937.9869384765625,Chrono,1,Set3_Blademaster,1,Set3_Celestial,2,Set3_Mystic,1,Sniper,1,-,-,-,-,-,-
0,EUW1_4627054925,20,27,5,10.10,N0sSGfAvZ69cBVM2W-ms2tsszL8vwVeiCOE44sbOiuve1NgHA6lwNAZkfLbu5tX3Qr5XMd9RQqy2Qw,33,4,1852.317138671875,Chrono,1,Mercenary,1,Set3_Sorcerer,3,-,-,-,-,-,-,-,-,-,-
0,EUW1_4627054925,20,27,5,10.10,Kf_uyA2ZyVuCo3v840kQk7uOJs7b-OopScMRJl_e949p42V8dm7JR7IBZSQalavLRqwAj09BDEuVsA,31,5,1749.444580078125,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Set3_Mystic,1,Valkyrie,1,-,-
0,EUW1_4627054925,20,27,5,10.10,LRofJE9K1TPvWWPqwa2FIYqfofZy2KU7Bf_T3hZqSeJWIMgXzA2nHVZEGxQlGK8rrsTv6JAapR8auA,35,2,1937.9869384765625,ManaReaver,1,Protector,1,Set3_Celestial,2,SpacePirate,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4627054925,20,27,5,10.10,oWgSj5spUlyct3SutH3nRnhTC_Y32UCqkXPH3XZ-JuHBqHweqw7Z03f9yKwDcKt17hWTWsNYkrUPbw,28,8,1592.7850341796875,Chrono,1,Demolitionist,1,Infiltrator,1,Mercenary,1,Set3_Brawler,1,Set3_Sorcerer,1,Set3_Void,1,-,-
0,EUW1_4627054925,20,27,5,10.10,sGoE01iKfd3SDoBrrCHC5iFVpwbu60TcrhhOzbhIupZICLcFg9b0zH6kfIIKyql7RvMhenMD2KWiGg,28,7,1596.1773681640625,Demolitionist,1,Mercenary,1,Set3_Celestial,1,Sniper,1,SpacePirate,1,Vanguard,1,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,MQvp6_GJH_jIWSO9gkRt4ug7MewLZyRmScbwF579Wz7cIRa6L_VRs1CdEpiylZ24hglGAgrVM-CWFQ,35,4,1929.4798583984375,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Set3_Mystic,1,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,r5RH-gSmHbNX1AXgESrItsyjzuoQh_zMfpC_O1Ue2Q0q_sDq9hceFgdS1x46Cv3YI_7PHUGh4hUv6Q,37,3,2018.8502197265625,Infiltrator,2,MechPilot,1,Set3_Sorcerer,1,Valkyrie,1,-,-,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,ENSmj46YszvmbILmiVyzau8QYLegX-kCYW0iVHxCFrlTZPpILHgBZRFLqEpatXOiQJs_PGq8LGInhw,27,8,1468.9488525390625,Chrono,1,ManaReaver,1,Mercenary,1,Set3_Blademaster,1,Set3_Celestial,1,Valkyrie,1,Vanguard,1,-,-
0,EUW1_4626869461,20,27,5,10.10,aBm65kk_9ckJ-cxzUCm9A3uwrMYnz_2t0NuS0nP6RlGGV0GrEiGjgD04UJXNhP6tSsa5qudQY0DlkQ,31,6,1696.635009765625,Chrono,1,Infiltrator,1,Set3_Brawler,1,Set3_Sorcerer,1,Set3_Void,1,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,ZHfz_tXd0VDLDlWiBOtmgd0y7adX_runXkycjZiLo76vIzMJRT4PT5Zae1xOPvGXsLxfJQFMIA4e-g,34,5,1872.94189453125,Blaster,1,Demolitionist,1,Mercenary,1,Rebel,2,Starship,1,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,LRofJE9K1TPvWWPqwa2FIYqfofZy2KU7Bf_T3hZqSeJWIMgXzA2nHVZEGxQlGK8rrsTv6JAapR8auA,38,1,2089.89501953125,ManaReaver,1,Protector,1,Set3_Celestial,2,SpacePirate,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,OHGGsJiXLaY-Ld_MCw2wTKs0SoCwkt7pW9bjrlnycURF9rHTKyEKQYlD9FmKKEGVYuxwt4-kAUu0MQ,38,2,2089.89501953125,Chrono,1,Cybernetic,2,ManaReaver,1,Set3_Blademaster,1,Vanguard,1,-,-,-,-,-,-
0,EUW1_4626869461,20,27,5,10.10,c6qyHkmC1M-pfp8mpFdizvE0TdSSGPjiRDOTj0DB3Jmxa2NQpCoEDsTM5_v1klS9nuY06lPqt8uJoA,30,7,1642.742919921875,Chrono,1,Infiltrator,1,Set3_Brawler,2,Set3_Sorcerer,1,Set3_Void,1,-,-,-,-,-,-
0,EUW1_4626843570,19,27,5,10.10,1Ft-QTEelPYE3ACq9cCvUXBxzkkUl8BVgtXr_0TFZnGGkeF5SHn8PdeUDqFd5Upkwcxr0_BQWSlxDw,27,7,1548.2635498046875,Chrono,1,Set3_Sorcerer,3,Vanguard,1,-,-,-,-,-,-,-,-,-,-
